
conv,mm,12544,147,64,1
bn+Relu,batchnorm,64,112,112,32
stage1.block1.conv1,mm,3136,576,64,1
stage1.block1.conv1.bn,batchnorm,64,56,56,32
stage1.block1.conv2,mm,3136,576,64,1
stage1.block1.conv2.bn,batchnorm,64,56,56,32
add11,elewise,64,56,56,32
stage1.block2.conv1,mm,3136,576,64,1
stage1.block2.conv1.bn,batchnorm,64,56,56,32
stage1.block2.conv2,mm,3136,576,64,1
stage1.block2.conv2.bn,batchnorm,64,56,56,32
add12,elewise,64,56,56,32
stage2.block1.conv1,mm,784,576,128,1
stage2.block1.conv1.bn,batchnorm,128,28,28,32
stage2.block1.conv2,mm,784,1152,128,1
stage2.block1.conv2.bn,batchnorm,128,28,28,32
stage2.block1.shortcut,mm,784,64,128,1
stage2.block1.shortcut.bn,batchnorm,128,28,28,32
add21,elewise,128,28,28,32
stage2.block2.conv1,mm,784,1152,128,1
stage2.block2.conv1.bn,batchnorm,128,28,28,32
stage2.block2.conv2,mm,784,1152,128,1
stage2.block2.conv2.bn,batchnorm,128,28,28,32
add22,elewise,128,28,28,32
stage3.block1.conv1,mm,196,1152,256,1
stage3.block1.conv1.bn,batchnorm,256,14,14,32
stage3.block1.conv2,mm,196,2304,256,1
stage3.block1.conv2.bn,batchnorm,256,14,14,32
stage3.block1.shortcut,mm,196,128,256,1
stage3.block1.shortcut.bn,batchnorm,256,14,14,32
add31,elewise,256,14,14,32
stage3.block2.conv1,mm,196,2304,256,1
stage3.block2.conv1.bn,batchnorm,256,14,14,32
stage3.block2.conv2,mm,196,2304,256,1
stage3.block2.conv2.bn,batchnorm,256,14,14,32
add32,elewise,256,14,14,32
stage4.block1.conv1,mm,49,2304,512,1
stage4.block1.conv1.bn,batchnorm,512,7,7,32
stage4.block1.conv2,mm,49,4608,512,1
stage4.block1.conv2.bn,batchnorm,512,7,7,32
stage4.block1.shortcut,mm,49,256,512,1
stage4.block1.shortcut.bn,batchnorm,512,7,7,32
add41,elewise,512,7,7,32
stage4.block2.conv1,mm,49,4608,512,1
stage4.block2.conv1.bn,batchnorm,512,7,7,32
stage4.block2.conv2,mm,49,4608,512,1
stage4.block2.conv2.bn,batchnorm,512,7,7,32
add42,elewise,512,7,7,32
fc,mm,1,512,1000,32
softmax,softmax,1000,1,1,32
