
llama2_7B_MM1,mm,4096,4096,4096,1
llama2_7B_MM2,mm,4096,4096,11008,1
llama2_7B_MM3,mm,4096,11008,4096,1
llama2_13B_MM1,mm,4096,5120,5120,1
llama2_13B_MM2,mm,4096,5120,13824,1
llama2_13B_MM3,mm,4096,13824,5120,1
llama2_34B_MM1,mm,4096,6656,6656,1
llama2_34B_MM2,mm,4096,6656,832,1
llama2_34B_MM3,mm,4096,6656,20480,1
llama2_34B_MM4,mm,4096,20480,6656,1
llama2_attnhead,mm,4096,128,4096,1
llama2_7B_MVM1,mm,1,4096,4096,1
llama2_7B_MVM2,mm,1,4096,11008,1
llama2_7B_MVM3,mm,1,11008,4096,1
llama2_13B_MVM1,mm,1,5120,5120,1
llama2_13B_MVM2,mm,1,5120,13824,1
llama2_13B_MVM3,mm,1,13824,5120,1
llama2_34B_MVM1,mm,1,6656,6656,1
llama2_34B_MVM2,mm,1,6656,832,1
llama2_34B_MVM3,mm,1,6656,20480,1
llama2_34B_MVM4,mm,1,20480,6656,1
alexnet_3_w,mm,1,1600,192,1
alexnet_8_w,mm,1,3456,256,1
resnet18_3_w,mm,1,2304,256,1
resnet18_4_w,mm,1,4608,512,1
